,ALARM_BOX_LOCATION,location,lat,lon
0,133 AVE & 125 ST,"133rd Ave & 125th St, Queens, NY 11420, USA",40.67121170000001,-73.8138917
1,CRUGER AVE & ALLERTON AVE,"Cruger Ave & Allerton Ave, The Bronx, NY 10467, USA",40.865449,-73.866342
2,MANGIN & DELANCEY STS,"Delancey St & Mangin St, New York, NY 10002, USA",40.714882900000006,-73.9775844
3,AVENUE P & E 24 ST,"E 24th St & Avenue P, Brooklyn, NY 11229, USA",40.6113548,-73.94977800000002
4,ROOSEVELT AVE & 80 ST,"Roosevelt Ave & 80th St, Queens, NY 11372, USA",40.7474498,-73.8857897
5,BMT L @ DEKALB AVE & WYCKOFF AVE,"DeKalb Av, Brooklyn, NY 11237, USA",40.70432020000001,-73.9192588
6,AMSTERDAM AVE & 144 ST,"Amsterdam Ave & W 144th St, New York, NY 10031, USA",40.8245652,-73.94809769999998
7,HUTCH RV PWAY & WESTCHESTER AVE,"Westchester Ave, The Bronx, NY, USA",40.83083329999999,-73.8700116
8,ROCKAWAY BEACH BLVD & BEACH 95 ST,"Rockaway Beach Blvd & Cross Bay Pkwy, Queens, NY 11693, USA",40.5856599,-73.81728220000002
9,LORING PL & W FORDHAM RD,"Loring Pl N & W Fordham Rd, The Bronx, NY 10468, USA",40.86282670000001,-73.9075921
10,BROADWAY & CATHEDRAL PWAY,"Broadway & Cathedral Pkwy, New York, NY 10025, USA",40.8041424,-73.96661209999998
11,2 AVE & 117 ST,"2nd Ave & E 117th St, New York, NY 10029, USA",40.79768019999999,-73.93728949999998
12,2 AVE & 65 ST,"2nd Ave & E 65th St, New York, NY 10065, USA",40.7643734,-73.96160909999998
13,WEBSTER AVE & 204 ST,"Webster Ave & E 204th St, The Bronx, NY 10467, USA",40.87108129999999,-73.87678989999998
14,PARK AVE S & E 22 ST,"E 22nd St & Park Ave S, New York, NY 10010, USA",40.7394999,-73.98680139999998
15,AMSTERDAM AVE & W 176 ST,"Amsterdam Ave & W 176th St, New York, NY 10033, USA",40.8448971,-73.93324399999999
16,WASHINGTON AVE & 166 ST,"E 166th St & Washington Ave, The Bronx, NY 10456, USA",40.8282348,-73.9086181
17,SOUND VIEW AVE & LAFAYETTE AVE,"Soundview Ave & Lafayette Ave, The Bronx, NY 10473, USA",40.8209749,-73.86569509999998
18,6 AVE & STERLING PL,"6th Ave & Sterling Pl, Brooklyn, NY 11217, USA",40.6780626,-73.9761776
19,MORRIS AVE & 162 ST,"E 162nd St & Morris Ave, The Bronx, NY 10451, USA",40.8265249,-73.9179441
20,FLATLANDS AVE & E 80 ST,"Flatlands Ave & E 80th St, New York, USA",40.6354755,-73.9132678
